consensus,batch,tps,round_label,n_reps,throughput_mean,throughput_ci95_low,throughput_ci95_high,avg_latency_mean_ms,avg_latency_ci95_low_ms,avg_latency_ci95_high_ms,send_rate_mean,succ_total,fail_total,total_tx,fail_rate
Raft,10,50,submitEvidence,5.0,48.300000000000004,48.21221517215373,48.387784827846275,246.0,190.75829749184047,301.2417025081595,50.1,15025,0,15025,0.0
Raft,10,100,submitEvidence,5.0,82.14000000000001,70.8138519609887,93.46614803901133,8554.0,478.7376715938208,16629.262328406177,100.04,30027,0,30027,0.0
Raft,10,150,submitEvidence,5.0,76.74000000000001,71.63216000000001,81.84784,36026.0,32051.144096003478,40000.85590399652,150.06,36903,8124,45027,0.1804250782863615
Raft,10,200,submitEvidence,5.0,99.78,99.72448,99.83552,38026.0,37058.34994907456,38993.65005092544,199.94,19743,40261,60004,0.6709719352043197
Raft,100,50,submitEvidence,5.0,48.32000000000001,48.264480000000006,48.37552000000001,1350.0,1237.9238344695893,1462.0761655304107,50.059999999999995,15028,0,15028,0.0
Raft,100,100,submitEvidence,5.0,96.6,96.51221517215372,96.68778482784627,830.0,725.3923046807741,934.6076953192259,100.08,30026,0,30026,0.0
Raft,100,150,submitEvidence,5.0,144.48,143.90838661457238,145.0516133854276,822.0,724.4837388739703,919.5162611260297,150.06,45024,0,45024,0.0
Raft,100,200,submitEvidence,5.0,181.42000000000002,173.00116497712423,189.8388350228758,6304.0,2780.320946792118,9827.679053207881,199.88000000000002,59983,0,59983,0.0
Raft,300,50,submitEvidence,5.0,49.32,48.93334794142537,49.70665205857463,1362.0,1257.6135408015004,1466.3864591984996,50.1,15025,0,15025,0.0
Raft,300,100,submitEvidence,5.0,98.16,98.04896,98.27104,1614.0,1418.7700164011685,1809.2299835988315,100.08,30026,0,30026,0.0
Raft,300,150,submitEvidence,5.0,145.26,144.25679185330262,146.26320814669737,2050.0,1799.3900752164832,2300.609924783517,150.04000000000002,45028,0,45028,0.0
Raft,300,200,submitEvidence,5.0,191.57999999999998,190.21326042626987,192.9467395737301,2496.0,1664.0054294792544,3327.9945705207456,199.61999999999998,59921,0,59921,0.0
SmartBFT,10,50,submitEvidence,5.0,48.36,48.29200216474034,48.42799783525966,270.0,218.0657954715777,321.9342045284223,50.059999999999995,15027,0,15027,0.0
SmartBFT,10,100,submitEvidence,5.0,68.78,61.53554411771319,76.02445588228682,18530.0,12788.959507434214,24271.040492565786,100.1,30025,0,30025,0.0
SmartBFT,10,150,submitEvidence,5.0,74.79999999999998,74.7122151721537,74.88778482784626,40094.0,39317.18611118493,40870.81388881507,150.06,24783,20240,45023,0.4495480087955045
SmartBFT,10,200,submitEvidence,5.0,98.53999999999999,97.68168162923072,99.39831837076926,32608.0,28026.149979819944,37189.850020180056,200.04000000000002,5530,54493,60023,0.9078686503506989
SmartBFT,100,50,submitEvidence,5.0,49.220000000000006,49.11613159094316,49.32386840905685,1356.0,1244.4061811030735,1467.5938188969265,50.1,15025,0,15025,0.0
SmartBFT,100,100,submitEvidence,5.0,96.84,96.5410156499079,97.1389843500921,1022.0,943.777856434383,1100.222143565617,100.08,30025,0,30025,0.0
SmartBFT,100,150,submitEvidence,5.0,144.06,143.52171362863248,144.59828637136752,1268.0,1068.707172472264,1467.292827527736,150.02,45017,0,45017,0.0
SmartBFT,100,200,submitEvidence,5.0,150.22,145.3241558613044,155.1158441386956,27424.0,24316.992460502228,30531.007539497772,199.10000000000002,59821,0,59821,0.0
SmartBFT,300,50,submitEvidence,5.0,49.0,48.91221517215372,49.08778482784628,1538.0,1369.736841156479,1706.263158843521,50.1,15025,0,15025,0.0
SmartBFT,300,100,submitEvidence,5.0,97.88,96.99167999999999,98.76832,2030.0,1812.8323294778893,2247.1676705221107,100.08,30026,0,30026,0.0
SmartBFT,300,150,submitEvidence,5.0,145.06,143.64560143891475,146.47439856108525,2408.0,2098.8278681640277,2717.1721318359723,150.08,45025,0,45025,0.0
SmartBFT,300,200,submitEvidence,5.0,156.57999999999998,151.61771073088235,161.54228926911762,23524.0,19595.880546386605,27452.119453613395,199.78,59951,0,59951,0.0
Raft,10,50,retrieveEvidenceAndLog,5.0,48.32000000000001,48.264480000000006,48.37552000000001,224.0,195.41933072862008,252.58066927137992,50.1,15025,0,15025,0.0
Raft,10,100,retrieveEvidenceAndLog,5.0,80.58,72.41016078454416,88.74983921545584,8378.0,3687.0905909510475,13068.909409048953,100.1,30025,0,30025,0.0
Raft,10,150,retrieveEvidenceAndLog,5.0,77.14000000000001,71.0602431132816,83.21975688671843,36772.0,32010.578127686647,41533.42187231335,150.06,37946,7075,45021,0.15714888607538705
Raft,10,200,retrieveEvidenceAndLog,5.0,99.78,99.72448,99.83552,39910.0,39172.398464209844,40647.601535790156,199.98,18998,41015,60013,0.6834352556945995
Raft,100,50,retrieveEvidenceAndLog,5.0,48.260000000000005,48.192002164740344,48.327997835259666,1256.0,1161.2086437695925,1350.7913562304075,50.1,15025,0,15025,0.0
Raft,100,100,retrieveEvidenceAndLog,5.0,96.66,96.59200216474034,96.72799783525966,762.0,666.0772490803147,857.9227509196853,100.1,30025,0,30025,0.0
Raft,100,150,retrieveEvidenceAndLog,5.0,144.88,144.82448,144.93552,674.0,587.2749875987325,760.7250124012675,150.1,45025,0,45025,0.0
Raft,100,200,retrieveEvidenceAndLog,5.0,184.84,177.70260222030467,191.97739777969534,5926.0,3065.6475331707807,8786.35246682922,199.92000000000002,59981,0,59981,0.0
Raft,300,50,retrieveEvidenceAndLog,5.0,49.059999999999995,48.70233741934611,49.41766258065388,1284.0,1277.2002164740338,1290.7997835259662,50.1,15025,0,15025,0.0
Raft,300,100,retrieveEvidenceAndLog,5.0,97.92,97.6811994505869,98.1588005494131,1438.0,1373.8509705139666,1502.1490294860334,100.1,30025,0,30025,0.0
Raft,300,150,retrieveEvidenceAndLog,5.0,144.88,144.82448,144.93552,1766.0,1639.5167150331713,1892.4832849668287,150.1,45025,0,45025,0.0
Raft,300,200,retrieveEvidenceAndLog,5.0,192.5,191.16002275840222,193.83997724159778,1830.0,1082.6937878486492,2577.306212151351,199.94,60001,0,60001,0.0
SmartBFT,10,50,retrieveEvidenceAndLog,5.0,48.339999999999996,48.22896,48.45103999999999,254.0,185.10149191745876,322.89850808254124,50.1,15025,0,15025,0.0
SmartBFT,10,100,retrieveEvidenceAndLog,5.0,72.14,64.5647237541064,79.7152762458936,15684.0,9663.339163691748,21704.660836308252,100.1,30025,0,30025,0.0
SmartBFT,10,150,retrieveEvidenceAndLog,5.0,74.82000000000001,74.71613159094316,74.92386840905685,39096.0,35508.353189164794,42683.646810835206,150.02,16466,28547,45013,0.6341945660142625
SmartBFT,10,200,retrieveEvidenceAndLog,5.0,96.82000000000001,95.24867610264467,98.39132389735535,21406.0,15953.109199148033,26858.890800851965,199.35999999999999,2756,57120,59876,0.953971541185116
SmartBFT,100,50,retrieveEvidenceAndLog,5.0,49.32,49.26448,49.37552,1306.0,1198.271168872952,1413.728831127048,50.1,15025,0,15025,0.0
SmartBFT,100,100,retrieveEvidenceAndLog,5.0,96.97999999999999,96.92447999999999,97.03551999999999,884.0,787.596430273563,980.403569726437,100.1,30025,0,30025,0.0
SmartBFT,100,150,retrieveEvidenceAndLog,5.0,144.07999999999998,143.44454455514173,144.71545544485824,956.0,713.7393213581701,1198.2606786418298,150.1,45025,0,45025,0.0
SmartBFT,100,200,retrieveEvidenceAndLog,5.0,149.3,144.52318232125197,154.07681767874806,28122.0,25923.127613838402,30320.872386161598,199.16000000000003,59809,0,59809,0.0
SmartBFT,300,50,retrieveEvidenceAndLog,5.0,49.16,48.888008658961354,49.43199134103864,1342.0,1299.5353654907992,1384.4646345092008,50.1,15025,0,15025,0.0
SmartBFT,300,100,retrieveEvidenceAndLog,5.0,97.9,96.48723689742405,99.31276310257596,1786.0,1418.916639527205,2153.083360472795,100.1,30025,0,30025,0.0
SmartBFT,300,150,retrieveEvidenceAndLog,5.0,146.34,145.84652744595064,146.83347255404937,2032.0,1909.2894955433726,2154.7105044566274,149.98000000000002,45007,0,45007,0.0
SmartBFT,300,200,retrieveEvidenceAndLog,5.0,162.06,154.22125233512392,169.89874766487608,19456.0,14207.057453397305,24704.942546602695,199.18,59808,0,59808,0.0
