consensus,batch,tps,k_fault,fault_family_x,round_label,phase,role,reps_x,cpu_avg_mean,traffic_in_mbps,traffic_out_mbps,disk_write_mb_sum,fault_family_y,reps_y,succ_total,fail_total,total_tx,send_rate_mean,throughput_mean,avg_latency_mean_s,max_latency_mean_s,fail_rate,succ_rate,orderer_cpu_avg_per_tps
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,1.93866464,89.58421333333334,97.68616,1266.2156,highimpact-nested,5,30025,0,30025,100.06,97.52,2.364,5.372,0.0,1.0,0.01987966201804758
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,1.9294276,83.65498666666667,92.14378666666667,1175.9182,highimpact-nested,5,30025,0,30025,100.06,97.62,1.9259999999999995,3.2019999999999995,0.0,1.0,0.019764675271460766
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,1.8825448999999999,77.92586666666666,86.52754666666667,1087.7022000000002,highimpact-nested,5,30025,0,30025,100.08,97.66,1.7920000000000005,3.064,0.0,1.0,0.019276519557648985
Raft,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,1.7588080599999998,72.23384,81.14232,997.8168,highimpact-nested,5,30025,0,30025,100.1,97.74,1.7900000000000005,3.102,0.0,1.0,0.01799476222631471
SmartBFT,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,16.25232906,192.67282666666665,128.57565333333332,1215.6816,highimpact-nested,5,30022,0,30022,100.08,96.48,3.684,6.43,0.0,1.0,0.1684528302238806
SmartBFT,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,18.175366760000003,283.80157333333335,230.4629066666667,1528.8574,highimpact-nested,5,30025,0,30025,100.1,78.64,28.07,43.484,0.0,1.0,0.23112114394710076
SmartBFT,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,14.931932899999998,262.51330666666667,211.77901333333335,1183.1086,highimpact-nested,5,25090,4935,30025,100.08,81.82000000000001,16.875999999999998,26.812,0.1643630308076603,0.8356369691923398,0.18249734661451963
SmartBFT,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,14.139050739999998,245.35327999999998,198.56261333333333,1028.0608,highimpact-nested,5,20087,9938,30025,100.08,76.46000000000001,11.088,29.702,0.3309908409658618,0.6690091590341383,0.18492088333769288
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.87674482,70.92,77.23866666666667,990.0,highimpact-nested,5,30025,0,30025,100.1,97.72,1.706,2.9219999999999997,0.0,1.0,0.01920532971756038
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.8162897199999999,73.736,74.94,1023.2,highimpact-nested,5,30025,0,30025,100.1,97.94,1.7100000000000002,2.896,0.0,1.0,0.018544922605676945
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.69876246,76.41333333333333,70.04506666666667,1056.4,highimpact-nested,5,30025,0,30025,100.1,97.68,1.688,2.814,0.0,1.0,0.017391098075348072
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.6118758199999998,79.224,69.01786666666666,1089.0,highimpact-nested,5,30025,0,30025,100.1,97.76,1.6780000000000002,2.818,0.0,1.0,0.01648809144844517
SmartBFT,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,14.92752192,147.2,96.53333333333333,958.0,highimpact-nested,5,30025,0,30025,100.1,96.74,2.952,4.848000000000001,0.0,1.0,0.15430558114533802
SmartBFT,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,16.4385327,250.5333333333333,228.00266666666667,1105.0,highimpact-nested,5,28044,1980,30024,100.08,81.4,25.784,40.986,0.065947242206235,0.934052757793765,0.20194757616707615
SmartBFT,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,13.950662220000002,202.85333333333332,177.95733333333334,1052.8,highimpact-nested,5,30025,0,30025,100.08,91.54,17.306,27.865999999999996,0.0,1.0,0.15239963098099193
SmartBFT,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,12.29805842,189.01333333333332,153.9786666666667,1058.8,highimpact-nested,5,30025,0,30025,100.08,96.82,10.158,21.03,0.0,1.0,0.12701981429456724
