consensus,batch,tps,k_fault,fault_family,round_label,phase,role,reps,cpu_avg_mean,traffic_in_mbps,traffic_out_mbps,disk_write_mb_sum
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,ca,5,0.0021753333333333334,0.00027466666666666666,0.0,0.0
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,ca,5,0.0011723999999999999,0.00048800000000000004,0.0,0.0
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,ca,5,0.0011264666666666665,0.0004293333333333333,0.0,0.0
Raft,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,ca,5,0.000505,0.0007173333333333334,0.0,0.0
SmartBFT,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,ca,5,0.0032036,0.0003333333333333333,0.0,0.0
SmartBFT,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,ca,5,0.004190466666666667,0.00029866666666666664,0.0,0.0
SmartBFT,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,ca,5,0.0030673333333333334,0.000808,0.0,0.0
SmartBFT,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,ca,5,0.0013928666666666667,0.0005039999999999999,0.0,0.0
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,chaincode,5,7.626348,5.442853333333334,4.03656,0.0
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,chaincode,5,8.141103300000001,5.462293333333333,4.0430117333333335,0.0
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,chaincode,5,8.0432413,5.467039999999999,4.041764266666666,0.0
Raft,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,chaincode,5,8.0909633,5.4577599999999995,4.043847466666667,0.0
SmartBFT,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,chaincode,5,8.4706513,5.272293333333333,3.9908912,0.0
SmartBFT,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,chaincode,5,7.5925612000000005,5.305066666666667,3.9964647999999996,0.0
SmartBFT,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,chaincode,5,7.100400500000001,5.2867999999999995,3.9877453333333337,0.0
SmartBFT,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,chaincode,5,6.913631100000001,5.33432,4.0041866666666674,0.0
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,couchdb,5,19.5906413,4.808613333333333,1.9614133333333332,53.85
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,couchdb,5,22.5427243,4.80576,1.9578399999999998,53.970000000000006
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,couchdb,5,20.7745518,4.805813333333333,1.9578933333333333,53.970000000000006
Raft,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,couchdb,5,24.1942333,4.806186666666666,1.95888,53.81
SmartBFT,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,couchdb,5,25.0950441,4.790933333333333,1.9581333333333333,51.41400000000001
SmartBFT,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,couchdb,5,23.713773500000002,4.8128,1.9710933333333334,52.238
SmartBFT,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,couchdb,5,21.7260518,4.810213333333333,1.9721066666666665,51.878
SmartBFT,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,couchdb,5,21.1239328,4.809866666666666,1.9658133333333332,51.278
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,1.93866464,89.58421333333334,97.68616,1266.2156
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,1.9294276,83.65498666666667,92.14378666666667,1175.9182
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,1.8825448999999999,77.92586666666666,86.52754666666667,1087.7022000000002
Raft,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,1.7588080599999998,72.23384,81.14232,997.8168
SmartBFT,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,16.25232906,192.67282666666665,128.57565333333332,1215.6816
SmartBFT,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,18.175366760000003,283.80157333333335,230.4629066666667,1528.8574
SmartBFT,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,14.931932899999998,262.51330666666667,211.77901333333335,1183.1086
SmartBFT,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,orderer,5,14.139050739999998,245.35327999999998,198.56261333333333,1028.0608
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,peer,5,18.4416874,35.866640000000004,27.684506666666664,129.588
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,peer,5,20.1796551,35.86941333333333,27.744266666666665,129.588
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,peer,5,19.832068900000003,35.86557333333333,27.713093333333337,129.588
Raft,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,peer,5,20.7188839,35.892586666666666,27.71456,129.548
SmartBFT,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,peer,5,27.312278300000003,37.675200000000004,101.66186666666667,129.2156
SmartBFT,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,peer,5,26.282061399999996,43.79786666666667,96.16645333333334,177.3212
SmartBFT,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,peer,5,23.4292879,40.114666666666665,90.83976,147.7412
SmartBFT,100,100,3,highimpact-nested,submitEvidence,UNSPLIT,peer,5,22.9581355,38.42426666666667,85.71824,137.84120000000001
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0013792666666666664,0.0003333333333333333,0.0,0.0
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0032413333333333335,0.00047466666666666664,0.0,0.0
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0024926,0.00045599999999999997,0.0,0.0
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0006666,0.0005253333333333333,0.0,0.0
SmartBFT,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.002152733333333333,0.00028266666666666663,0.0,0.0
SmartBFT,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0013756,0.00033066666666666666,0.0,0.0
SmartBFT,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0025058,0.0006186666666666667,0.0,0.0
SmartBFT,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0029664,0.000592,0.0,0.0
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,7.5393448,3.2916,3.5820773333333333,0.0
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,7.7391379,3.300266666666667,3.588554666666667,0.0
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,7.5491184,3.2925066666666667,3.583522666666667,0.0
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,7.5049312,3.289653333333333,3.5834746666666666,0.0
SmartBFT,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,8.458088700000001,3.1790399999999996,3.5639493333333334,0.0
SmartBFT,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,7.8285904,3.1893333333333334,3.550797333333333,0.0
SmartBFT,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,7.3358607000000005,3.102533333333333,3.5242133333333334,0.0
SmartBFT,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,7.7772451,3.1543733333333335,3.535890666666667,0.0
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,22.7873793,2.7306666666666666,3.3648000000000002,43.839999999999996
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,22.898448300000002,2.728,3.365866666666667,43.96
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,21.233399900000002,2.7306666666666666,3.366133333333333,43.879999999999995
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,22.987862,2.7306666666666666,3.3626666666666667,43.8
SmartBFT,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,22.3674249,2.7093333333333334,3.3669333333333333,41.64
SmartBFT,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,21.0375112,2.7173333333333334,3.3773333333333335,42.04
SmartBFT,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,21.4026852,2.7226666666666666,3.389333333333333,41.8
SmartBFT,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,22.9648191,2.7226666666666666,3.379466666666667,41.72
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.87674482,70.92,77.23866666666667,990.0
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.8162897199999999,73.736,74.94,1023.2
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.69876246,76.41333333333333,70.04506666666667,1056.4
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.6118758199999998,79.224,69.01786666666666,1089.0
SmartBFT,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,14.92752192,147.2,96.53333333333333,958.0
SmartBFT,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,16.4385327,250.5333333333333,228.00266666666667,1105.0
SmartBFT,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,13.950662220000002,202.85333333333332,177.95733333333334,1052.8
SmartBFT,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,orderer,5,12.29805842,189.01333333333332,153.9786666666667,1058.8
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,peer,5,19.126034399999998,30.266666666666662,19.986666666666668,107.72
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,peer,5,20.0822757,30.30933333333333,20.002666666666666,107.72
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,peer,5,19.0512518,30.27733333333333,19.973333333333336,107.67999999999999
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,peer,5,19.9578276,30.266666666666662,20.016000000000002,107.67999999999999
SmartBFT,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,peer,5,25.8152068,32.312,79.05333333333333,107.6
SmartBFT,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,peer,5,24.900884100000003,34.839999999999996,74.536,129.16
SmartBFT,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,peer,5,24.1497827,32.239999999999995,70.112,112.4
SmartBFT,100,100,3,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,peer,5,25.7149705,31.693333333333335,66.10666666666667,108.4
