consensus,batch,tps,fault_profile,round_label,phase,role,reps,cpu_avg_mean,traffic_in_mbps,traffic_out_mbps,disk_write_mb_sum
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,ca,5,0.0033334666666666665,0.0006453333333333334,0.0,0.0
Raft,100,100,high-impact,submitEvidence,UNSPLIT,ca,5,0.0009815333333333333,0.0008106666666666667,0.0,0.0
SmartBFT,100,100,limited-impact,submitEvidence,UNSPLIT,ca,5,0.0025664,0.0006106666666666667,0.0,0.0
SmartBFT,100,100,high-impact,submitEvidence,UNSPLIT,ca,5,0.0020352666666666667,0.0006079999999999999,0.0,0.0
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,chaincode,5,7.3626667999999995,5.465386666666666,4.039513333333334,0.0
Raft,100,100,high-impact,submitEvidence,UNSPLIT,chaincode,5,7.257099800000001,5.456826666666667,4.039583466666667,0.0
SmartBFT,100,100,limited-impact,submitEvidence,UNSPLIT,chaincode,5,8.1295517,5.37432,4.0148784,0.0
SmartBFT,100,100,high-impact,submitEvidence,UNSPLIT,chaincode,5,4.9387986,5.48552,4.052052,0.0
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,couchdb,5,20.246133500000003,4.819066666666666,1.9816533333333333,61.85
Raft,100,100,high-impact,submitEvidence,UNSPLIT,couchdb,5,20.1307605,4.763066666666667,1.96232,61.05
SmartBFT,100,100,limited-impact,submitEvidence,UNSPLIT,couchdb,5,25.345900300000004,4.82016,1.9838133333333332,61.977999999999994
SmartBFT,100,100,high-impact,submitEvidence,UNSPLIT,couchdb,5,11.2450271,3.064053333333333,1.3436,36.078
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,orderer,5,1.6922467,72.68389333333333,81.12802666666667,990.2376
Raft,100,100,high-impact,submitEvidence,UNSPLIT,orderer,5,1.5789002,72.74994666666666,81.17445333333333,979.4884
SmartBFT,100,100,limited-impact,submitEvidence,UNSPLIT,orderer,5,11.305611039999999,128.15898666666666,81.58114666666667,964.9477999999999
SmartBFT,100,100,high-impact,submitEvidence,UNSPLIT,orderer,5,8.0243987,174.89848,119.05413333333334,657.267
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,peer,5,18.8676667,35.984186666666666,27.72066666666667,130.788
Raft,100,100,high-impact,submitEvidence,UNSPLIT,peer,5,17.3944443,35.77773333333333,27.69016,129.268
SmartBFT,100,100,limited-impact,submitEvidence,UNSPLIT,peer,5,27.2703326,37.51893333333333,85.77805333333333,130.6812
SmartBFT,100,100,high-impact,submitEvidence,UNSPLIT,peer,5,16.6519059,31.178133333333335,84.36258666666667,82.5212
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0022953333333333333,0.0007253333333333334,0.0,0.0
Raft,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0037234666666666667,0.0007333333333333334,0.0,0.0
SmartBFT,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0026713333333333333,0.0011066666666666666,0.0,0.0
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,ca,5,0.0021302,0.00048266666666666667,0.0,0.0
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,6.7550404,3.272266666666667,3.5759653333333334,0.0
Raft,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,6.7093112,3.2750133333333338,3.572293333333333,0.0
SmartBFT,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,7.281882899999999,3.1870933333333333,3.557864,0.0
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,chaincode,5,5.1693018,3.3018666666666667,3.5846133333333334,0.0
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,19.725038,2.7359999999999998,3.3786666666666663,50.96
Raft,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,19.515248200000002,2.738666666666667,3.3781333333333334,51.160000000000004
SmartBFT,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,23.858306900000002,2.7386666666666666,3.3973333333333335,51.44
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,couchdb,5,14.912981400000001,2.4053333333333335,3.053866666666667,44.06
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.4894532999999999,62.136,64.7608,839.6
Raft,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,orderer,5,1.5044784400000002,62.160000000000004,67.42293333333333,839.6
SmartBFT,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,orderer,5,10.1660675,153.32266666666666,81.82506666666666,1074.2
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,orderer,5,8.9249762,169.66400000000002,158.3288,1012.4
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,peer,5,17.2431522,30.325333333333333,20.053333333333335,108.6
Raft,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,peer,5,17.4500261,30.349333333333334,19.994666666666667,108.6
SmartBFT,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,peer,5,24.6894542,31.951999999999998,66.12266666666667,108.96
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,peer,5,18.4635149,30.682666666666666,66.19733333333333,98.16
